molecule_chembl_id,standard_value,canonical_smiles
CHEMBL338094,8.128,O=C1c2ccccc2-c2nnc(-c3ccc(Br)cc3)cc21
CHEMBL127622,5.623,O=C1c2ccccc2-c2nnc(-c3cccc(Br)c3)cc21
CHEMBL127517,10.96,O=C1c2ccccc2-c2nnc(-c3ccc(Cl)cc3)cc21
CHEMBL339626,4.571,O=C1c2ccccc2-c2nnc(-c3cccc(Cl)c3)cc21
CHEMBL127518,190.55,O=C1c2ccccc2-c2nnc(-c3ccccc3Cl)cc21
CHEMBL125921,5.012,O=C1c2ccccc2-c2nnc(-c3ccc(F)c(F)c3)cc21
CHEMBL340701,14.79,O=C1c2ccccc2-c2nnc(-c3ccc(F)cc3)cc21
CHEMBL127751,42.66,O=C1c2ccccc2-c2nnc(-c3cccc(F)c3)cc21
CHEMBL125044,74.13,COc1ccc(-c2cc3c(nn2)-c2ccccc2C3=O)cc1
CHEMBL125094,42.66,COc1cccc(-c2cc3c(nn2)-c2ccccc2C3=O)c1
CHEMBL127757,269.15,O=C1c2ccccc2-c2nnc(-c3ccc(O)cc3)cc21
CHEMBL339561,602.56,Cc1ccccc1-c1cc2c(nn1)-c1ccccc1C2=O
CHEMBL420523,2691.53,O=C1c2ccccc2-c2nnc(-c3ccco3)cc21
CHEMBL127982,6.31,O=C1c2ccccc2-c2nnc(-c3ccc4ccccc4c3)cc21
CHEMBL125843,26.3,O=C1c2ccccc2-c2nnc(/C=C/c3ccccc3)cc21
CHEMBL126505,31.62,O=C1c2ccccc2-c2nnc(CCc3ccccc3)cc21
CHEMBL338035,758.58,O=C1c2ccccc2-c2nnc(Cc3ccccc3)cc21
CHEMBL128029,1288.25,O=C1c2ccccc2-c2nnc(-c3ccccc3)c(Cc3ccccc3)c21
CHEMBL421088,177.83,O=C1c2ccccc2-c2nnc(-c3ccccc3)cc21
CHEMBL126504,2951.21,Cc1nnc2c(c1-c1ccccc1)C(=O)c1ccccc1-2
CHEMBL357614,1.622,Cc1c(C)c2ccc(OCc3c(F)c(F)c(F)c(F)c3F)cc2oc1=O
CHEMBL142582,1.122,Cc1c(C)c2ccc(OCc3ccc([N+](=O)[O-])cc3)cc2oc1=O
CHEMBL145792,2.344,Cc1c(C)c2ccc(OCc3ccc(C#N)cc3)cc2oc1=O
CHEMBL274030,1.479,Cc1c(C)c2ccc(OCc3ccc(Cl)cc3)cc2oc1=O
CHEMBL276076,1.549,Cc1c(C)c2ccc(OCc3ccc(F)cc3)cc2oc1=O
CHEMBL18966,1.38,Cc1ccc(COc2ccc3c(C)c(C)c(=O)oc3c2)cc1
CHEMBL356977,1.096,Cc1c(C)c2ccc(OCc3cccc([N+](=O)[O-])c3)cc2oc1=O
CHEMBL356714,1.413,Cc1c(C)c2ccc(OCc3cccc(C#N)c3)cc2oc1=O
CHEMBL143555,4.266,Cc1c(C)c2ccc(OCc3cccc(C(F)(F)F)c3)cc2oc1=O
CHEMBL109018,2.138,Cc1c(C)c2ccc(OCc3cccc(Cl)c3)cc2oc1=O
CHEMBL108697,0.912,Cc1c(C)c2ccc(OCc3cccc(F)c3)cc2oc1=O
CHEMBL439811,7.943,CC(=O)Nc1cccc(COc2ccc3c(C)c(C)c(=O)oc3c2)c1
CHEMBL145003,3.631,Cc1c(C)c2ccc(OCc3cccc(OC(F)(F)F)c3)cc2oc1=O
CHEMBL111310,1.66,COc1cccc(COc2ccc3c(C)c(C)c(=O)oc3c2)c1
CHEMBL109085,1.202,Cc1cccc(COc2ccc3c(C)c(C)c(=O)oc3c2)c1
CHEMBL342327,1.95,Cc1c(C)c2ccc(OCc3ccccc3C#N)cc2oc1=O
CHEMBL214255,2238.72,O=c1ccc2ccc(OS(=O)(=O)c3ccccc3)cc2o1
CHEMBL342724,125.89,Cc1c(C)c2cc(OCc3ccccc3)c(O)cc2oc1=O
CHEMBL142916,3.89,Cc1c(C)c2cc(O)c(OCc3ccccc3)cc2oc1=O
CHEMBL145452,199.53,COc1ccc(S(=O)(=O)Oc2ccc3c(C)c(C)c(=O)oc3c2)cc1
CHEMBL18978,15.85,Cc1c(C)c2ccc(OS(=O)(=O)c3ccccc3)cc2oc1=O
CHEMBL145292,1.122,O=c1oc2cc(OCc3ccccc3)ccc2c2ccccc12
CHEMBL146222,1.778,O=c1oc2cc(OCc3ccccc3)ccc2c2c1CCCC2
CHEMBL142799,0.912,O=c1oc2cc(OCc3ccccc3)ccc2c2c1CCC2
CHEMBL348922,1.38,Cc1c(C)c2ccc(NCc3ccccc3)cc2oc1=O
CHEMBL111309,1.072,Cc1c(C)c2ccc(OCc3ccccc3)cc2oc1=O
CHEMBL145374,257.04,O=c1cc(-c2ccccc2)c2ccc(OCc3ccccc3)cc2o1
CHEMBL145503,3.236,Cc1cc(=O)oc2cc(OCc3cccc([N+](=O)[O-])c3)ccc12
CHEMBL108660,1.585,Cc1cc(=O)oc2cc(OCc3ccccc3)ccc12
CHEMBL143316,57.54,O=c1ccc2ccc(CNc3ccccc3)cc2o1
CHEMBL434695,64.57,O=c1ccc2ccc(COc3ccccc3)cc2o1
CHEMBL255700,4240.0,C#CCNCc1ccnc2c(O)cccc12
CHEMBL258420,57.0,C#CCN(C)Cc1ccnc2c(O)cccc12
CHEMBL257368,64200.0,C#CCN1CCN(Cc2ccnc3c(O)cccc23)CC1
CHEMBL356385,1500.0,C#CCN(C)C(C)Cc1cccc(OC(=O)N(C)CCCCCC)c1
CHEMBL255231,120000.0,C#CCN[C@@H]1CCc2ccc(OC(=O)N(C)CC)cc21
CHEMBL255230,32000.0,C#CCN[C@@H]1CCc2cc(Cl)c(OC(=O)N(C)CCC)cc21
CHEMBL972,7.0,C#CCN(C)[C@H](C)Cc1ccccc1
