,molecule_chembl_id,canonical_smiles,pIC50
146,CHEMBL111310,COc1cccc(COc2ccc3c(C)c(C)c(=O)oc3c2)c1,8.779891911959945
147,CHEMBL109085,Cc1cccc(COc2ccc3c(C)c(C)c(=O)oc3c2)c1,8.92009553233328
148,CHEMBL342327,Cc1c(C)c2ccc(OCc3ccccc3C#N)cc2oc1=O,8.709965388637482
149,CHEMBL214255,O=c1ccc2ccc(OS(=O)(=O)c3ccccc3)cc2o1,5.650000220873455
150,CHEMBL342724,Cc1c(C)c2cc(OCc3ccccc3)c(O)cc2oc1=O,6.900008766455316
151,CHEMBL142916,Cc1c(C)c2cc(O)c(OCc3ccccc3)cc2oc1=O,8.410050398674292
152,CHEMBL145452,COc1ccc(S(=O)(=O)Oc2ccc3c(C)c(C)c(=O)oc3c2)cc1,6.699991797446187
153,CHEMBL18978,Cc1c(C)c2ccc(OS(=O)(=O)c3ccccc3)cc2oc1=O,7.79997073344623
154,CHEMBL145292,O=c1oc2cc(OCc3ccccc3)ccc2c2ccccc12,8.950007143079857
155,CHEMBL146222,O=c1oc2cc(OCc3ccccc3)ccc2c2c1CCCC2,8.750068243365805
156,CHEMBL142799,O=c1oc2cc(OCc3ccccc3)ccc2c2c1CCC2,9.040005161671584
157,CHEMBL348922,Cc1c(C)c2ccc(NCc3ccccc3)cc2oc1=O,8.860120913598763
158,CHEMBL111309,Cc1c(C)c2ccc(OCc3ccccc3)cc2oc1=O,8.969805214643248
159,CHEMBL145374,O=c1cc(-c2ccccc2)c2ccc(OCc3ccccc3)cc2o1,6.589999287456538
160,CHEMBL145503,Cc1cc(=O)oc2cc(OCc3cccc([N+](=O)[O-])c3)ccc12,8.489991487059765
161,CHEMBL108660,Cc1cc(=O)oc2cc(OCc3ccccc3)ccc12,8.79997073344623
162,CHEMBL143316,O=c1ccc2ccc(CNc3ccccc3)cc2o1,7.2400301424456925
163,CHEMBL434695,O=c1ccc2ccc(COc3ccccc3)cc2o1,7.189969213594161
165,CHEMBL255700,C#CCNCc1ccnc2c(O)cccc12,5.372634143407267
166,CHEMBL258420,C#CCN(C)Cc1ccnc2c(O)cccc12,7.2441251443275085
167,CHEMBL257368,C#CCN1CCN(Cc2ccnc3c(O)cccc23)CC1,4.192464971931146
168,CHEMBL356385,C#CCN(C)C(C)Cc1cccc(OC(=O)N(C)CCCCCC)c1,5.823908740944319
169,CHEMBL255231,C#CCN[C@@H]1CCc2ccc(OC(=O)N(C)CC)cc21,3.9208187539523753
170,CHEMBL255230,C#CCN[C@@H]1CCc2cc(Cl)c(OC(=O)N(C)CCC)cc21,4.494850021680094
173,CHEMBL972,C#CCN(C)[C@H](C)Cc1ccccc1,8.154901959985743
174,CHEMBL255590,NCc1ccc2c(c1)C1(CCN(C(=O)c3ccc(C#Cc4ccccc4)o3)CC1)CO2,4.142667503568732
175,CHEMBL502371,CC1CCCC/C1=N/Nc1nc(-c2ccccc2)cs1,6.147989932915694
